time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-18T17:03:53.714Z,17.9398,-66.9635,10,2.7,ml,,206,0.082,0.32,us,us60008hxx,2020-03-18T17:35:36.040Z,"Puerto Rico",earthquake,1.9,1.8,0.061,35,reviewed,us,us
2020-03-18T17:02:46.246Z,0.4724,-25.0851,10,4.9,mb,,51,12.482,0.67,us,us60008hyf,2020-03-18T17:30:59.040Z,"central Mid-Atlantic Ridge",earthquake,11.7,1.8,0.093,36,reviewed,us,us
2020-03-18T16:24:46.600Z,17.909,-66.866,14,2.51,md,4,232,0.0674,0.12,pr,pr2020078024,2020-03-18T16:44:00.336Z,"Puerto Rico region",earthquake,1.35,0.8,0.15,2,reviewed,pr,pr
2020-03-18T15:54:22.770Z,17.9956,-66.837,10,2.85,md,8,167,0.0469,0.23,pr,pr2020078023,2020-03-18T16:43:44.720Z,"Puerto Rico",earthquake,1.42,1.18,0.29,5,reviewed,pr,pr
2020-03-18T14:29:46.880Z,17.909,-66.8776,14,2.75,md,8,232,0.0661,0.26,pr,pr2020078022,2020-03-18T15:27:18.283Z,"Puerto Rico region",earthquake,1.58,0.83,0.26,2,reviewed,pr,pr
2020-03-18T14:22:08.150Z,17.9201,-66.873,13,2.96,md,8,227,0.0553,0.11,pr,pr2020078021,2020-03-18T15:27:34.690Z,"Puerto Rico region",earthquake,0.92,0.34,0.24,5,reviewed,pr,pr
2020-03-18T08:28:04.050Z,17.8876,-66.7831,7,3.01,md,7,244,0.13,0.09,pr,pr2020078018,2020-03-18T12:25:09.611Z,"Puerto Rico region",earthquake,1.28,0.54,0.34,3,reviewed,pr,pr
2020-03-18T07:19:53.530Z,17.849,-66.8756,13,3.06,md,8,253,0.1261,0.06,pr,pr2020078014,2020-03-18T12:15:09.953Z,"Puerto Rico region",earthquake,0.94,0.51,0.23,4,reviewed,pr,pr
2020-03-18T06:47:37.150Z,17.8666,-66.9143,10,2.53,md,8,248,0.114,0.06,pr,pr2020078013,2020-03-18T07:08:42.233Z,"Puerto Rico region",earthquake,0.54,0.77,0.29,4,reviewed,pr,pr
2020-03-18T06:17:55.350Z,17.9176,-66.9383,12,2.51,md,5,231,0.0825,0.08,pr,pr2020078012,2020-03-18T06:34:36.826Z,"Puerto Rico region",earthquake,0.98,0.61,0.08,3,reviewed,pr,pr
2020-03-18T05:08:36.430Z,18.6308,-68.695,121,3.72,md,9,172,1.2405,0.45,pr,pr2020078011,2020-03-18T12:35:17.040Z,"Dominican Republic",earthquake,7.58,3.15,0.45,6,reviewed,pr,pr
2020-03-18T02:51:36.380Z,17.9586,-66.9015,13,3.09,md,8,211,0.0277,0.3,pr,pr2020078006,2020-03-18T04:11:08.661Z,"Puerto Rico region",earthquake,2.59,0.94,0.21,4,reviewed,pr,pr
2020-03-18T02:18:17.490Z,17.8956,-66.797,9,2.64,md,8,240,0.1144,0.07,pr,pr2020078005,2020-03-18T03:08:05.040Z,"Puerto Rico region",earthquake,0.84,0.69,0.35,5,reviewed,pr,pr
2020-03-18T01:14:40.060Z,17.9081,-66.8115,13,3,md,7,235,0.0952,0.1,pr,pr2020078002,2020-03-18T03:38:12.034Z,"Puerto Rico region",earthquake,0.97,0.41,0.12,4,reviewed,pr,pr
2020-03-18T01:08:17.620Z,17.9136,-66.7043,6,2.52,md,7,210,0.1622,0.32,pr,pr2020078004,2020-03-18T01:41:25.347Z,"Puerto Rico region",earthquake,1.65,0.85,0.11,3,reviewed,pr,pr
2020-03-18T00:42:34.270Z,19.0161,-67.1405,57,3.73,md,12,206,0.7167,0.51,pr,pr2020078001,2020-03-18T08:45:01.943Z,"Puerto Rico region",earthquake,2.71,8.36,0.07,4,reviewed,pr,pr
2020-03-18T00:39:33.330Z,17.8311,-66.8815,13,2.81,md,7,258,0.144,0.12,pr,pr2020078000,2020-03-18T01:18:51.475Z,"Puerto Rico region",earthquake,1.01,0.49,0.19,3,reviewed,pr,pr
2020-03-17T23:14:57.890Z,17.9158,-66.8696,15,2.65,md,8,229,0.0601,0.07,pr,pr2020077038,2020-03-18T00:33:46.130Z,"Puerto Rico region",earthquake,0.76,0.35,0.23,4,reviewed,pr,pr
2020-03-17T22:44:17.410Z,19.1611,-67.7238,77,3.17,md,9,239,0.8143,0.53,pr,pr2020077037,2020-03-18T00:00:20.658Z,"Puerto Rico region",earthquake,4.76,9.41,0.35,6,reviewed,pr,pr
2020-03-17T22:21:51.052Z,17.9873,-66.8069,10,2.8,ml,,172,0.043,0.68,us,us60008hgf,2020-03-17T22:33:55.040Z,"Puerto Rico",earthquake,1.8,1.6,0.063,33,reviewed,us,us
2020-03-17T20:31:38.650Z,17.841,-66.8591,7,3,md,8,255,0.1356,0.07,pr,pr2020077033,2020-03-17T20:41:48.155Z,"Puerto Rico region",earthquake,0.59,0.3,0.21,4,reviewed,pr,pr
2020-03-17T20:16:14.190Z,17.9318,-66.8366,15,2.61,md,8,223,0.0607,0.13,pr,pr2020077031,2020-03-17T20:33:18.680Z,"Puerto Rico region",earthquake,1.06,0.6,0.23,5,reviewed,pr,pr
2020-03-17T19:23:37.160Z,17.8803,-66.8976,9,3.08,md,8,243,0.0966,0.11,pr,pr2020077028,2020-03-17T19:48:38.101Z,"Puerto Rico region",earthquake,0.68,0.64,0.19,3,reviewed,pr,pr
2020-03-17T19:18:46.630Z,17.9791,-66.7833,14,2.61,md,4,323,0.096,0.1,pr,pr2020077029,2020-03-17T19:48:51.237Z,"Puerto Rico region",earthquake,1.13,0.71,0,1,reviewed,pr,pr
2020-03-17T18:50:51.410Z,17.8808,-66.8938,10,2.8,md,8,243,0.0954,0.05,pr,pr2020077027,2020-03-17T20:19:10.040Z,"Puerto Rico region",earthquake,0.53,0.41,0.38,3,reviewed,pr,pr
2020-03-17T18:14:34.653Z,37.0063,27.3892,21.82,4.4,mb,,45,0.986,0.75,us,us60008h9t,2020-03-18T03:29:04.447Z,"western Turkey",earthquake,5.4,5.5,0.082,48,reviewed,us,us
2020-03-17T18:06:03.390Z,17.8933,-66.8441,10,2.61,md,6,239,0.089,0.09,pr,pr2020077024,2020-03-17T19:38:18.290Z,"Puerto Rico region",earthquake,0.92,0.78,0.15,2,reviewed,pr,pr
2020-03-17T17:32:45.280Z,18.0185,-66.7425,9,2.89,md,6,173,0.1384,0.2,pr,pr2020077023,2020-03-17T17:43:17.513Z,"Puerto Rico",earthquake,0.9,3.54,0.22,3,reviewed,pr,pr
2020-03-17T17:09:35.010Z,17.9513,-66.8115,12,2.51,md,6,216,0.0718,0.28,pr,pr2020077022,2020-03-17T17:23:36.281Z,"Puerto Rico region",earthquake,3.03,0.99,0.08,3,reviewed,pr,pr
2020-03-17T16:16:20.780Z,17.8183,-66.8798,29,3.48,md,8,262,0.1568,0.09,pr,pr2020077020,2020-03-18T03:41:12.594Z,"Puerto Rico region",earthquake,0.95,0.71,0.29,5,reviewed,pr,pr
2020-03-17T15:27:03.000Z,17.9138,-66.7486,7,2.63,md,6,240,0.1443,0.12,pr,pr2020077019,2020-03-17T16:13:00.523Z,"Puerto Rico region",earthquake,2.83,2.42,0.13,2,reviewed,pr,pr
2020-03-17T15:21:31.020Z,17.9288,-66.8875,15,2.86,md,8,224,0.047,0.15,pr,pr2020077021,2020-03-17T16:55:40.658Z,"Puerto Rico region",earthquake,1.61,0.49,0.01,3,reviewed,pr,pr
2020-03-17T14:38:15.590Z,17.8865,-66.8755,15,2.86,md,8,241,0.0887,0.1,pr,pr2020077018,2020-03-17T22:40:46.850Z,"Puerto Rico region",earthquake,1.67,0.63,0.15,4,reviewed,pr,pr
2020-03-17T14:20:00.530Z,17.9038,-66.903,8,3.15,ml,8,235,0.0752,0.05,pr,pr2020077017,2020-03-17T14:57:46.877Z,"Puerto Rico region",earthquake,0.69,0.58,0.03,3,reviewed,pr,pr
